kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,1.5,0.42,0.16,0.28,0.015,0.23,8,5.899146289025021,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,7.51738230719453e-06,0.9999999999997713,133025.0290773356,133025.0290773051,133025.02907736602,17695658361.025974,10.247866725054449
0.42,4.0,0.42,0.16,0.28,0.015,0.23,10,5.859421296296297,0.000324074074074074,0.005185185185185184,0.02625,0.08296296296296295,0.20254629629629634,0.42,8.139005233596613e-06,0.9999999999995637,122865.13785150895,122865.13785145526,122865.13785156255,15095842099.270287,10.178857344511522
0.42,1.75,0.42,0.16,0.28,0.015,0.23,8,5.725609173428518,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,1.0636507750578012e-05,0.9999999999999385,94015.82017797693,94015.82017797112,94015.8201779827,8838974443.737692,9.946401878218577
0.42,2.0,0.42,0.16,0.28,0.015,0.23,8,5.567333333333334,0.011666666666666665,0.04666666666666666,0.105,0.18666666666666665,0.2916666666666667,0.42,1.4597406724054648e-05,0.9999999999998141,68505.3187119962,68505.31871198346,68505.31871200893,4692978691.832176,9.671448582330816
0.42,0.0,0.42,0.16,0.28,0.015,0.23,6,5.544,0.42,0.42,0.42,0.42,0.42,0.42,1.529476415844604e-05,1.000000000000225,65381.85156962902,65381.851569643666,65381.851569614315,4274786514.672997,9.630914430686513
0.42,2.25,0.42,0.16,0.28,0.015,0.23,8,5.422641479825993,0.00745433621620651,0.03545899866374098,0.08829412360164002,0.168672374007171,0.27867081439294034,0.42,1.9496356428923127e-05,0.9999999999999731,51291.635113753124,51291.63511375175,51291.6351137545,2630831832.6423926,9.420093088112448
0.42,0.25,0.42,0.16,0.28,0.015,0.23,6,5.3058040541025075,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,2.462845421125759e-05,0.9999999999995031,40603.4415080303,40603.44150801012,40603.44150805048,1648639462.2960377,9.217125691026487
0.42,2.5,0.42,0.16,0.28,0.015,0.23,8,5.290070394786735,0.004762896722078401,0.026943012562182532,0.07424621202458749,0.15241269510650884,0.2662540210094558,0.42,2.5415767989160923e-05,1.0000000000000402,39345.653470966194,39345.653470967736,39345.653470964615,1548080447.0573525,9.189793525342543
0.42,2.75,0.42,0.16,0.28,0.015,0.23,8,5.168341087745274,0.003043220016809169,0.020472262423705433,0.062433373537642854,0.13772041667381776,0.25439048526891456,0.42,3.242171396641309e-05,1.0000000000000653,30843.526688192305,30843.52668819434,30843.526688190293,951323138.5652316,8.978328060006492
0.42,0.5,0.42,0.16,0.28,0.015,0.23,6,5.091814384085378,0.17146428199482247,0.2424871130596428,0.29698484809834996,0.34292856398964494,0.38340579025361626,0.42,3.778385102552724e-05,1.0,26466.333442940664,26466.33344294068,26466.333442940664,700466805.9129199,8.845387559535538
0.42,3.0,0.42,0.16,0.28,0.015,0.23,8,5.056333333333334,0.001944444444444444,0.015555555555555552,0.0525,0.12444444444444441,0.2430555555555556,0.42,4.056249581530087e-05,1.0000000000001938,24653.315332307113,24653.315332311893,24653.315332302333,607785956.874169,8.78375066132057
