we,wnu,ae,anu,theta12,theta23,theta13,J,absJ,unitarity_defect,gap_e,gap_nu,loss
-10,-12,0.1,-0.020000000000000004,43.185086649554144,38.919918026968645,10.62019860764247,-0.039312419162756226,0.039312419162756226,1.6498889227827503e-15,1.1146030810050875,1.0169878828320382,41.82608345110982
10,12,0.1,-0.020000000000000004,43.185086649554144,38.919918026968645,10.62019860764247,0.039312419162756226,0.039312419162756226,1.6498889227827503e-15,1.1146030810050875,1.0169878828320382,41.82608345110982
8,6,0.1,-0.1,23.494301398701868,39.39068565121904,9.948820959918143,-0.021141879336333554,0.021141879336333554,1.3093106268656736e-15,1.0870265539529829,3.0426526836490146,42.03773411292301
-8,-6,0.1,-0.1,23.494301398701868,39.39068565121904,9.948820959918143,0.021141879336333554,0.021141879336333554,1.3093106268656736e-15,1.0870265539529829,3.0426526836490146,42.03773411292301
12,10,0.04000000000000001,-0.1,37.06920045502458,53.372890086073134,11.615620924917833,-0.005537204748743141,0.005537204748743141,1.5569121452431974e-15,1.025103096277117,1.0635732977383383,42.514541178877025
-12,-10,0.04000000000000001,-0.1,37.06920045502458,53.372890086073134,11.615620924917833,0.005537204748743141,0.005537204748743141,1.5569121452431974e-15,1.025103096277117,1.0635732977383383,42.514541178877025
-10,-12,0.07999999999999999,-0.1,34.7202624579391,64.03447978634628,9.422132670425716,0.01134519926374118,0.01134519926374118,1.3414247728312233e-15,1.104389817392146,1.087375865468829,42.652039875548745
10,12,0.07999999999999999,-0.1,34.7202624579391,64.03447978634628,9.422132670425716,-0.01134519926374118,0.01134519926374118,1.3414247728312233e-15,1.104389817392146,1.087375865468829,42.652039875548745
10,-8,0.01999999999999999,-0.08,35.79326639457488,32.081856879599286,8.516759716792365,0.017231461887119083,0.017231461887119083,7.597534326721791e-16,1.0800124045672772,1.1739175387917256,42.670669360659886
-10,8,0.01999999999999999,-0.08,35.79326639457488,32.081856879599286,8.516759716792365,-0.017231461887119083,0.017231461887119083,7.597534326721791e-16,1.0800124045672772,1.1739175387917256,42.670669360659886
-8,-6,0.04000000000000001,0.01999999999999999,32.97241320930255,36.2130814984539,7.020797385337344,-0.008658355869953147,0.008658355869953147,1.623035689137897e-15,1.1494404356128516,3.0203916698936415,42.987987916936525
8,6,0.04000000000000001,0.01999999999999999,32.97241320930255,36.2130814984539,7.020797385337344,0.008658355869953147,0.008658355869953147,1.623035689137897e-15,1.1494404356128516,3.0203916698936415,42.987987916936525
-10,8,0.04000000000000001,-0.1,41.353380924986034,39.869193718714484,8.077666822887055,0.01068569652097882,0.01068569652097882,7.229781372259439e-16,1.085691128904503,1.1684223444701398,43.74354444719947
10,-8,0.04000000000000001,-0.1,41.353380924986034,39.869193718714484,8.077666822887055,-0.01068569652097882,0.01068569652097882,7.229781372259439e-16,1.085691128904503,1.1684223444701398,43.74354444719947
10,12,0.07999999999999999,-0.020000000000000004,41.87670104695539,39.58283902449426,11.456163621368887,0.045627959897764865,0.045627959897764865,1.2377682811055392e-15,1.104389817392146,1.0169878828320382,43.82991603044027
-10,-12,0.07999999999999999,-0.020000000000000004,41.87670104695539,39.58283902449426,11.456163621368887,-0.045627959897764865,0.045627959897764865,1.2377682811055392e-15,1.104389817392146,1.0169878828320382,43.82991603044027
-10,-8,0.01999999999999999,-0.060000000000000005,42.82050780560469,56.5307626446513,6.434218420599118,0.015075644381175642,0.015075644381175642,1.2490779991450092e-15,1.0800124045672772,1.1787129439576514,43.98851725795981
10,8,0.01999999999999999,-0.060000000000000005,42.82050780560469,56.5307626446513,6.434218420599118,-0.015075644381175642,0.015075644381175642,1.2490779991450092e-15,1.0800124045672772,1.1787129439576514,43.98851725795981
-12,-10,0.07999999999999999,-0.060000000000000005,26.871659864994847,49.77864346399198,10.24432871621628,0.00423392067084127,0.00423392067084127,1.0605390551611693e-15,1.039106764979826,1.0665281428175768,44.464559274576374
12,10,0.07999999999999999,-0.060000000000000005,26.871659864994847,49.77864346399198,10.24432871621628,-0.00423392067084127,0.00423392067084127,1.0605390551611693e-15,1.039106764979826,1.0665281428175768,44.464559274576374
