scale,i13,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
2.5,-0.4,0.066,0.156,0.09,-0.006,-0.016,-0.01,-0.024,0.061000000000000006,0.085,34.16981736308506,47.24558424471645,8.22108996634891,-0.03107652013317528,0.03107652013317528,4.410992827748528e-16,0.0,3.044460789377641
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.016,-0.01,-0.024,0.0385,0.0625,34.329859588391045,47.03266570856863,8.51506371603091,-0.030436810085968997,0.030436810085968997,2.6731632847217294e-16,0.0,3.051140973890171
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.014,-0.01,-0.024,0.0385,0.0625,34.329859588391045,47.03266570856863,8.51506371603091,-0.030436810085968984,0.030436810085968984,5.486116131281904e-16,0.0,3.0511409738901736
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.012,-0.01,-0.024,0.0385,0.0625,34.32985958839105,47.03266570856863,8.515063716030914,-0.030436810085969008,0.030436810085969008,3.76438991324447e-16,0.0,3.0511409738901794
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.014,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.77326476857397,47.44751921457715,8.645197510591707,-0.03195135145173668,0.03195135145173668,2.12377909674918e-16,0.0,3.178057366594141
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.016,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.77326476857398,47.44751921457714,8.645197510591707,-0.03195135145173669,0.03195135145173669,5.468370109287588e-16,0.0,3.1780573665941714
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.018000000000000002,-0.012,-0.024,0.05350000000000001,0.07750000000000001,34.77326476857398,47.44751921457714,8.645197510591709,-0.031951351451736686,0.031951351451736686,3.2682853232326133e-16,0.0,3.178057366594173
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.01,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.914022124325584,47.850396288305994,8.721355254617405,-0.03307828547237539,0.03307828547237539,3.266443309152217e-16,0.0,3.1981120512045047
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.012,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.91402212432559,47.85039628830601,8.721355254617405,-0.033078285472375395,0.033078285472375395,3.666796752514842e-16,0.0,3.198112051204509
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.008,-0.006,-0.024,0.05350000000000001,0.07750000000000001,34.91402212432559,47.850396288305994,8.721355254617404,-0.03307828547237539,0.03307828547237539,3.898846488281358e-16,0.0,3.198112051204522
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.008,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.94601170163969,47.84515446270532,8.668874055814934,-0.03294762167680008,0.03294762167680008,3.1866072289790756e-16,0.0,3.201120996297812
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.01,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.94601170163969,47.84515446270532,8.668874055814934,-0.03294762167680011,0.03294762167680011,4.510014149108592e-16,0.0,3.201120996297816
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.006,-0.004,-0.024,0.05350000000000001,0.07750000000000001,34.94601170163969,47.84515446270532,8.668874055814937,-0.0329476216768001,0.0329476216768001,4.655010127463407e-16,0.0,3.2011209962978193
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.014,-0.008,-0.024,0.0385,0.0625,34.367941671810236,47.019826391877615,8.463329290015917,-0.030332681076970142,0.030332681076970142,6.386657236990161e-16,0.0,3.2184534781633385
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.012,-0.008,-0.024,0.0385,0.0625,34.36794167181024,47.019826391877615,8.463329290015917,-0.03033268107697016,0.03033268107697016,3.526228183690059e-16,0.0,3.2184534781633483
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.01,-0.008,-0.024,0.0385,0.0625,34.36794167181025,47.019826391877615,8.463329290015915,-0.030332681076970174,0.030332681076970174,5.094124109333727e-16,0.0,3.2184534781633607
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.014,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.88136901179472,47.853899821081946,8.773765764452298,-0.03320642639390071,0.03320642639390071,5.746309154276261e-16,0.0,3.23334118475497
