beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.05,2.9000000000000004,0.0,6.361109362927032e-15,0.0,0.0,0.0,3.859735234964142,3.6699121906216448,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.95,0.0,6.7572564085062125e-15,0.0,-0.0,0.0,3.859735234964142,3.7331865387358105,170.0416,5.664399999999968,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.0,0.0,1.307048473941821e-14,0.0,0.0,0.0,3.859735234964142,3.7964608868499763,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.0500000000000003,0.0,3.180554681463516e-15,0.0,0.0,0.0,3.859735234964142,3.859735234964144,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.1,0.0,3.5119257807961005e-15,0.0,0.0,0.0,3.859735234964142,3.9230095830783096,170.0416,5.664399999999983,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.15,0.0,3.180554681463516e-15,0.0,0.0,0.0,3.859735234964142,3.9862839311924754,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.2,0.0,1.311376289972681e-14,0.0,-0.0,0.0,3.859735234964142,4.049558279306641,170.0416,5.664399999999936,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.25,0.0,1.9083328088781094e-14,0.0,0.0,0.0,3.859735234964142,4.112832627420809,170.0416,5.664399999999908,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,3.3000000000000003,0.0,5.963540027744093e-15,0.0,-0.0,0.0,3.859735234964142,4.1761069755349745,170.0416,5.664399999999972,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.35,0.0,6.361295457608052e-15,0.0,0.0,0.0,3.859735234964142,4.239381323649141,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.4000000000000004,0.0,1.304124383925543e-14,0.0,-0.0,0.0,3.859735234964142,4.302655671763308,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.45,0.0,0.0,0.0,-0.0,0.0,3.859735234964142,4.3659300198774735,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.5,0.0,6.361109362927032e-15,0.0,0.0,0.0,3.859735234964142,4.429204367991639,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.5500000000000003,0.0,2.544446332816906e-14,0.0,0.0,0.0,3.859735234964142,4.492478716105806,170.0416,5.664399999999879,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,3.6,0.0,7.82844920226049e-15,0.0,-0.0,0.0,3.859735234964142,4.555753064219973,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.6500000000000004,0.0,1.4223872947815224e-14,0.0,0.0,0.0,3.859735234964142,4.619027412334138,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.7,0.0,9.074688812336e-15,0.0,0.0,0.0,3.859735234964142,4.682301760448304,170.0416,5.664399999999957,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.75,0.0,2.5444437451708128e-14,0.0,0.0,0.0,3.859735234964142,4.745576108562471,170.0416,5.664399999999879,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,3.8000000000000003,0.0,0.0,0.0,0.0,0.0,3.859735234964142,4.8088504566766375,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.85,0.0,1.4223872947815224e-14,0.0,-0.0,0.0,3.859735234964142,4.872124804790803,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,3.9000000000000004,0.0,2.2092838883807128e-14,0.0,0.0,0.0,3.859735234964142,4.93539915290497,170.0416,5.664399999999894,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,3.95,0.0,3.000529285440111e-14,0.0,0.0,0.0,3.859735234964142,4.9986735010191365,170.0416,5.664399999999856,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,4.0,0.0,3.000529285440111e-14,0.0,0.0,0.0,3.859735234964142,5.061947849133302,170.0416,5.664399999999856,0.040401000000000006,649.0837074276884,824.8301084276883
