N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,nonorth_mean,nonorth_std,p3_gap_mean,p3_gap_std
3,-8,-0.07,0.0,1.807789296437282,0.0,3.0,0.0,4.503747923258593,0.0,0.8451408694999255,1.1102230246251565e-16,,
3,-8,-0.07,0.0001,1.8077975030278466,9.922089573364218e-05,3.0,0.0,4.503778926776445,0.0009684858180710288,0.8451447538390919,6.505403580449681e-05,,
3,-8,-0.07,0.0003,1.8077775865636572,0.00027983048164629973,3.0,0.0,4.5030641755121055,0.0021079507404291537,0.8450752006279754,0.00016127404058850672,,
3,-8,-0.07,0.001,1.8078249126903803,0.0011356848173604537,3.0,0.0,4.50367881167862,0.009020510267412185,0.845196444441061,0.0006366256843045627,,
3,-8,-0.07,0.003,1.8080309666440475,0.003606864972769622,3.0,0.0,4.506665789469729,0.024897510954353882,0.8452898981008176,0.0016874722237524785,,
3,-8,-0.07,0.01,1.8067483723417208,0.008276018887314001,3.0,0.0,4.49285500387665,0.08093290772375412,0.8450948913704103,0.005511777610776905,,
3,-8,-0.03,0.0,1.8345788640851874,2.220446049250313e-16,3.0,0.0,4.419470507475414,0.0,0.8389643379825793,0.0,,
3,-8,-0.03,0.0001,1.8345554057026263,7.389098251774316e-05,3.0,0.0,4.419591450598055,0.0008251923615507224,0.8389675134602314,5.8228630453884355e-05,,
3,-8,-0.03,0.0003,1.834473832608547,0.00029129545430087075,3.0,0.0,4.419441646239091,0.0025568175577665533,0.8389864511215459,0.00018843888841134089,,
3,-8,-0.03,0.001,1.8343478160173725,0.0010951170868389198,3.0,0.0,4.418685942669195,0.009505849674727085,0.8389025605631268,0.0006810998127734349,,
3,-8,-0.03,0.003,1.8341625291273889,0.0027089524434916086,3.0,0.0,4.421783523818549,0.024936343160029316,0.8390595964013606,0.0017280854018932698,,
3,-8,-0.03,0.01,1.8357528242896048,0.009063102078285703,3.0,0.0,4.412756676460728,0.06849849801273082,0.8378982617067902,0.005049411345013028,,
3,-8,0.0,0.0,1.8413157637051847,2.220446049250313e-16,3.0,0.0,4.375308282829125,0.0,0.8355720262538467,0.0,,
