N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
4,-8,0.07,0.001,300,30,8.585531656909984,301.0,0.0,0.9976163084994752,0.001655665098659798
4,-8,0.1,0.001,300,30,8.626893301065452,301.0,0.0,0.9980156858775295,0.0010956536368174714
4,-6,-0.1,0.001,300,30,49.77115126422097,301.0,0.0,0.9994213238308375,0.00024117376500138767
4,-6,-0.07,0.001,300,30,48.93615312153829,301.0,0.0,0.9993938609535322,0.0002666138960636661
4,-6,-0.03,0.001,300,30,48.01384793240561,301.0,0.0,0.9993078659742165,0.0005135724174677227
4,-6,0.0,0.001,300,30,47.484815616197324,301.0,0.0,0.9991812542713363,0.000680198664172326
4,-6,0.03,0.001,300,30,47.10100408344988,301.0,0.0,0.9992013845902121,0.0005677795033432663
4,-6,0.07,0.001,300,30,46.801010052971584,301.0,0.0,0.9993133498615936,0.00040714833282515125
4,-6,0.1,0.001,300,30,46.712778847826605,301.0,0.0,0.9992791435268208,0.0005127895916969122
4,6,-0.1,0.001,300,30,49.77115126422097,301.0,0.0,0.9993201710835061,0.00045688541028281274
4,6,-0.07,0.001,300,30,48.93615312153829,301.0,0.0,0.9991030582794043,0.0006338300503064909
4,6,-0.03,0.001,300,30,48.01384793240561,301.0,0.0,0.9991969603674586,0.0005601452392749301
4,6,0.0,0.001,300,30,47.484815616197324,301.0,0.0,0.9993730100203825,0.0003644660738408661
4,6,0.03,0.001,300,30,47.10100408344988,301.0,0.0,0.9993979376937092,0.0003335934377953104
4,6,0.07,0.001,300,30,46.801010052971584,301.0,0.0,0.9992851997339292,0.00044165986473867195
4,6,0.1,0.001,300,30,46.712778847826605,301.0,0.0,0.9995735664623777,0.00025337049212843896
4,8,-0.1,0.001,300,30,9.191941153993607,301.0,0.0,0.9980237081633601,0.0016057721917277718
4,8,-0.07,0.001,300,30,8.974738320768306,301.0,0.0,0.9977516243052296,0.001814652915400914
4,8,-0.03,0.001,300,30,8.731422235244054,301.0,0.0,0.9958600465040984,0.002733205605524332
4,8,0.0,0.001,300,30,8.61395373772671,301.0,0.0,0.994371238381982,0.00411461248640624
4,8,0.03,0.001,300,30,8.568738500641954,301.0,0.0,0.9962283189320243,0.0026511019123610377
4,8,0.07,0.001,300,30,8.585531656909984,301.0,0.0,0.9976959469564569,0.0015417234763751822
4,8,0.1,0.001,300,30,8.626893301065452,301.0,0.0,0.9977133292649474,0.001524489581427884
4,10,-0.1,0.001,300,30,2.389589714926075,301.0,0.0,0.9753221117851295,0.01748065371916637
4,10,-0.07,0.001,300,30,2.3260306086376024,301.0,0.0,0.9469293641486157,0.0710363609095821
4,10,-0.03,0.001,300,30,2.257509793983658,301.0,0.0,0.9337341487383276,0.07582799921604631
4,10,0.0,0.001,300,30,2.2256715595117122,301.0,0.0,0.9610008567622518,0.028749486592186648
4,10,0.03,0.001,300,30,2.2124126646977476,301.0,0.0,0.9762078099836071,0.014070346240414876
4,10,0.07,0.001,300,30,2.214985590105736,301.0,0.0,0.9856063042109671,0.009175215702451655
