kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.36,0.14,0.2,13.153906362017803,2.0791197882769876,0.17959284670964937,1.7781265823319653e-05,1.7781265823319653e-05,3.3558843820068685e-16,0.0,1.6818572368192726
0.42,2.4,0.23,0.015,0.24,0.22,0.3,13.15342846985326,2.2719298692591607,0.30294201157930434,3.7042949419717475e-05,3.7042949419717475e-05,2.679600350275311e-16,0.0,1.7253329235307453
0.42,2.4,0.23,0.015,0.16,0.22,0.2,13.153844020824263,2.111129866252105,0.2732858651362419,2.3713038627217603e-05,2.3713038627217603e-05,1.151620745912877e-16,0.0,1.7266979545958943
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.15,13.153961872517625,2.0575233870247653,0.22513230854908017,1.631696628262916e-05,1.631696628262916e-05,4.625825026575586e-16,0.0,1.808271820355271
0.42,2.4,0.23,0.015,0.16,0.22,0.1,13.15381362344382,2.1081815220888767,0.24449988865129282,1.16266783633176e-05,1.16266783633176e-05,3.570434306327109e-17,0.0,1.901968048207596
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.35,13.153742604639431,2.1767214322861754,0.2944864647036987,3.9372464830239595e-05,3.9372464830239595e-05,3.931651353907207e-16,0.0,1.9394657870693175
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.4,13.153030493065447,2.4190976576237313,0.30149800884657146,4.670124122552535e-05,4.670124122552535e-05,1.5763091558489867e-16,0.0,1.9636958230507409
0.42,2.4,0.23,0.015,0.36,0.14,0.15,13.153907771017115,2.0727336623432873,0.18150612561593613,1.3226618839137783e-05,1.3226618839137783e-05,3.5180166965827247e-16,0.0,1.9743387262961098
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.1,13.153852992893883,2.0903163771142563,0.20712245059953327,9.799394171811082e-06,9.799394171811082e-06,4.652812663871454e-16,0.0,1.9777051238916605
0.42,2.4,0.23,0.015,0.24,0.19333333333333333,0.3,13.154015950790628,2.0679868274721307,0.2778503618891074,3.306837431076015e-05,3.306837431076015e-05,3.7768661595000325e-16,0.0,2.057845480061525
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.25,13.154203972972411,1.9826140466941171,0.22216867519850975,2.4676127803876374e-05,2.4676127803876374e-05,5.442296630586773e-16,0.0,2.1106178247019045
0.42,2.4,0.23,0.015,0.36,0.14,0.45,13.15400644276541,2.111440074043514,0.2851779620651677,4.055369748292431e-05,4.055369748292431e-05,2.6647633835420547e-16,0.0,2.125902192837242
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.4,13.153935263055422,2.1221737288483755,0.2885128168511053,4.054283669473538e-05,4.054283669473538e-05,4.64948367691559e-16,0.0,2.1378912617822325
0.42,2.4,0.23,0.015,0.12,0.22,0.15,13.153987160985775,2.0524699478566006,0.2599502726312882,1.736515699285804e-05,1.736515699285804e-05,2.2873202296379485e-16,0.0,2.1459432853401994
0.42,2.4,0.23,0.015,0.16,0.22,0.25,13.153869931981541,2.112670368192769,0.29561854511215985,2.9756145553887225e-05,2.9756145553887225e-05,1.435595040250026e-16,0.0,2.157533526169297
0.42,2.4,0.23,0.015,0.32,0.22,0.35,13.152807141636757,2.4766954806088695,0.3103127112547318,4.4736185004553425e-05,4.4736185004553425e-05,4.0318060453958717e-16,0.0,2.165355634874667
