Nmodes,spread,skew,penalty,cond,entropy,cp,unitarity_residual,fragility,collapse,survival_cost,viability
2,2.5,-0.3,0.1,1.5057949316821346,2.262782590036757,0.036345072354788274,7.60371073427342e-16,1.3516799575599302e-16,False,-0.9113697879544612,11.282834339674077
4,2.3866666666666667,0.5,0.1,5.962331193834813,2.8437967085114986,0.027786339876145642,1.2814039022704844e-15,9.936212118486399e-16,False,-0.9112709662463301,11.270268115126848
2,2.16,0.20000000000000007,0.1,1.218944782065395,2.1676875007512146,0.037764380935807494,7.032629733738598e-16,6.04693864416149e-17,False,-0.9109672812840741,11.231825944691984
2,2.3866666666666667,-0.19999999999999996,0.1,1.4021013038490757,2.237184656607695,0.03657779126426094,6.733409114505521e-16,9.883257037879111e-17,False,-0.9103961374775972,11.160233184702047
2,2.2733333333333334,0.4,0.4052631578947369,1.228213099125612,2.1420234480098768,0.04101675368084214,9.656786624298476e-16,8.62097312552851e-17,False,-0.9094940471393231,11.048996981882295
2,2.16,0.4,0.25263157894736843,1.203583501488278,2.1422567164944315,0.03932318756259494,7.057233761315685e-16,5.679395382367399e-17,False,-0.9084652187387258,10.924808976662423
2,2.16,0.5,0.25263157894736843,1.2044082041594315,2.129141364455172,0.039623348842685625,8.608703982599288e-16,6.953569173666357e-17,False,-0.9081128408666949,10.88291344984615
2,2.2733333333333334,0.5,0.4052631578947369,1.2302387649571356,2.12842436534346,0.04116622454804238,1.6184142622847344e-16,1.4564014066526276e-17,False,-0.9072989453275381,10.787363784945839
5,2.5,0.20000000000000007,0.1,11.85123723400761,2.880024743793026,0.02943087717885853,1.9612582351465646e-15,2.105927883082128e-15,False,-0.9069385885599869,10.74559244832209
2,2.5,0.20000000000000007,0.5578947368421052,1.2935226176196677,2.1727033198172236,0.04257043642505268,7.950410101044416e-16,8.886493523764902e-17,False,-0.9065220528903495,10.697710325484476
2,2.2733333333333334,0.30000000000000004,0.4052631578947369,1.2333469253711413,2.1556612390691607,0.04044821682234535,9.50197851991224e-16,8.654901411867709e-17,False,-0.9064839797115032,10.693354966507355
3,2.3866666666666667,0.4,0.1,2.617074960845048,2.665898345892978,0.028170612757164388,1.3674710840103639e-15,5.713515203902802e-16,False,-0.9063990978139402,10.683657706762283
2,2.2733333333333334,0.10000000000000009,0.25263157894736843,1.2640227458205378,2.1832843830252107,0.03862688502283083,2.4276213934271013e-16,2.4702234555217102e-17,False,-0.9063834476974,10.681871692600529
3,2.5,0.20000000000000007,0.1,2.8636659237279654,2.674704003963838,0.028300743055821434,1.7339461456985663e-15,7.92278750516904e-16,False,-0.9059911963847475,10.637301630735296
6,0.9133333333333333,0.30000000000000004,0.1,11.170878151648058,3.4284882803154355,0.015319461864802958,2.8663779297860083e-15,3.004214347325987e-15,False,-0.9055079572575202,10.582901702372029
6,1.1400000000000001,0.0,0.1,84.28108964810649,3.369546383276245,0.025541632430169006,3.015683924625812e-15,5.807393431949943e-15,False,-0.905229905935536,10.551851930417893
5,2.3866666666666667,0.30000000000000004,0.1,13.234495314468083,2.8735457045355632,0.029896758979186564,2.102521931913407e-15,2.358414377153271e-15,False,-0.9051832774732278,10.546662796930601
2,2.3866666666666667,0.4,0.5578947368421052,1.2518114972475192,2.1422797826896307,0.04238703526035024,1.3877787807814457e-15,1.3536246569189957e-16,False,-0.9050238392398615,10.52895791950879
3,2.3866666666666667,0.5,0.1,2.5216885975678482,2.6545057638608656,0.028152984415153622,1.3350375125072391e-15,5.362731604466001e-16,False,-0.904987139649104,10.524891012720365
2,2.5,0.5,0.5578947368421052,1.2796285332832744,2.1290677818234984,0.043239675290873504,5.255267395909837e-16,5.627546095498185e-17,False,-0.9049221455283363,10.517696319052218
2,2.5,0.0,0.4052631578947369,1.3513202807087374,2.204796543976033,0.040653002435193576,3.394034248481614e-16,4.4379813060648514e-17,False,-0.904737640900366,10.49732559062609
2,2.2733333333333334,-0.09999999999999998,0.1,1.3200309711837395,2.21401801672496,0.036324814882339664,4.616727890678353e-16,5.567040743422467e-17,False,-0.9046942409100792,10.492545356640013
2,2.16,0.30000000000000004,0.25263157894736843,1.208514288644236,2.1550785454208823,0.038652042109635416,1.1581094996895894e-15,9.525657887231587e-17,False,-0.9045106579801994,10.472372925060478
2,2.3866666666666667,0.10000000000000009,0.4052631578947369,1.2918632135954933,2.18590338387063,0.040271062430927505,4.564927381489205e-16,5.0769539070978394e-17,False,-0.9041145074409018,10.429106357081691
2,2.16,0.10000000000000009,0.1,1.234585546654117,2.1804719324585156,0.03675449400782536,2.3551386880256624e-16,2.1554509147305914e-17,False,-0.9035108043572064,10.3638546610134
