Nmodes,spread,skew,effective_rank,singular_min,singular_max,condition_number,qr_residual,svd_residual,entropy,collapse,stability_score
5,0.8,0.10000000000000009,5,0.41307343986844414,1.4068506505791145,3.40581241686023,6.476131890862559e-16,2.674652494817011e-15,3.2225317939991105,False,-0.15048217521007431
6,0.9133333333333333,0.30000000000000004,6,0.14290623043197434,1.596388087266925,11.170878151648058,8.140616866345759e-16,2.8663779297860083e-15,3.4284882803154355,False,-0.15046266772189912
5,0.8,-0.4,5,0.40154586348356036,1.4116445785491551,3.515525141518359,9.12355709411214e-16,2.598966335844545e-15,3.2248811664687014,False,-0.1503242541600485
5,0.8,0.20000000000000007,5,0.4130947710004838,1.4073098578506607,3.4067481765558645,7.380713914042989e-16,2.099563438908595e-15,3.2185732441599586,False,-0.15028186156525042
5,0.8,0.30000000000000004,5,0.4123559995110369,1.4083223662708535,3.4153070840264546,6.909340670172416e-16,3.5289685049998585e-15,3.2135141218809533,False,-0.15000711091523095
5,0.8,-0.5,5,0.39582470944533,1.4142681719990682,3.5729658564794633,4.3817480514308305e-16,3.908256149422668e-15,3.220325621361033,False,-0.14995570374659248
6,0.9133333333333333,-0.5,6,0.1341960375134226,1.5985222775167995,11.911844098652404,1.0020738206022951e-15,2.435293848026732e-15,3.4286261577244934,False,-0.1499117278708856
6,0.9133333333333333,0.4,6,0.1399326198996691,1.5997071756744525,11.431981884005557,8.658369378711794e-16,2.3548941503446584e-15,3.4184662915475816,False,-0.14976088402603294
5,0.8,0.4,5,0.410700627293239,1.4100107551872354,3.433183836314163,7.566497123210734e-16,2.0670500691093606e-15,3.2072089877806023,False,-0.14964650820569023
5,0.8,0.5,5,0.4078077988546211,1.412590427546206,3.463863201031569,9.269855279858296e-16,1.863368308537289e-15,3.199428130768894,False,-0.14918019189815393
6,0.9133333333333333,0.5,6,0.1355099534195887,1.6041760273009855,11.838067882245268,1.1654396578896246e-15,2.372967131669994e-15,3.4045885648901115,False,-0.14876381172472333
5,0.9133333333333333,-0.09999999999999998,5,0.3064219411429329,1.4718537426036025,4.8033562385046205,8.573571344141073e-16,3.3530263359453538e-15,3.190171925381715,False,-0.14587770032776776
5,0.9133333333333333,0.0,5,0.30873316848056953,1.4712993464367106,4.76560180973658,4.486667013563628e-16,2.49588912711243e-15,3.18834450965336,False,-0.14585487044238338
5,0.9133333333333333,-0.19999999999999996,5,0.30335285397946754,1.4729336310978862,4.855512686877776,1.4420676019655164e-15,1.829919600055605e-15,3.190805752909372,False,-0.14581558578107293
5,0.9133333333333333,0.10000000000000009,5,0.3103588258269613,1.471290725245617,4.7406118428413135,9.397431140506102e-16,2.7151077005817112e-15,3.185507974325197,False,-0.14575871077382266
5,0.9133333333333333,-0.3,5,0.2993982104238749,1.474543389640078,4.925024059270374,8.736748404894081e-16,1.607356103355547e-15,3.1900681738775645,False,-0.14565524156559773
5,0.9133333333333333,0.20000000000000007,5,0.31132751978027184,1.4718741336889813,4.72773539174371,8.278584987025519e-16,2.765104600734405e-15,3.181859388425271,False,-0.14559990619375138
5,0.9133333333333333,0.30000000000000004,5,0.31162405564784507,1.473129021007913,4.7272634904432485,6.535511701064848e-16,2.9681602790681202e-15,3.177611533882966,False,-0.14538838049637778
5,0.9133333333333333,-0.4,5,0.2943472807571587,1.476716324473256,5.016918521124613,7.52265440538266e-16,2.7819543691695485e-15,3.1877621196845296,False,-0.14537936502850077
