N_gen,eps_H,eps_D,kappa0,width_mean,width_std,max_imag_mean,gap_min_mean,final_imag_mean
4,0.001,0.0003,47.10100408344988,0.001035735944584467,0.0002735547507963316,0.003524629111645797,0.3101386148876889,0.001474553235854616
4,0.001,0.001,47.10100408344988,0.003986878561769455,0.0012883005750764823,0.012901324710924445,0.30809247411144874,0.005893587086961285
4,0.001,0.003,47.10100408344988,0.011580595792652018,0.0026255025609562203,0.03822672378613451,0.298888163641721,0.01854258287140648
4,0.001,0.01,47.10100408344988,0.03813745607037261,0.011046820462357393,0.12765356370683636,0.22989699682805115,0.05155110412208759
4,0.003,0.0001,47.10100408344988,0.0003652788287803765,8.87422607861741e-05,0.001210131919247776,0.2873009601253712,0.0005621172017582154
4,0.003,0.0003,47.10100408344988,0.0011603540899308884,0.0003312694358165863,0.0036308661270565744,0.2925565990883574,0.0016582227175338717
4,0.003,0.001,47.10100408344988,0.003948338306786916,0.0010961941915288902,0.012510315559122276,0.28666144333873145,0.005620982165664588
4,0.003,0.003,47.10100408344988,0.010803905331831714,0.0032724698687201788,0.03852573764463372,0.2768382151527484,0.01560102573751968
4,0.003,0.01,47.10100408344988,0.04289098275020838,0.011934355335407694,0.14346529950174222,0.23077481052390483,0.06938652717156649
4,0.01,0.0001,47.10100408344988,0.00037165395786503555,7.886459729610615e-05,0.0013293780030891051,0.221039278600745,0.0005185702939704006
4,0.01,0.0003,47.10100408344988,0.0011723115200313276,0.0003115066595123126,0.003756853789452458,0.21586866715377723,0.001730813293183088
4,0.01,0.001,47.10100408344988,0.0037874405294015976,0.0008396514924510493,0.012490405861611046,0.24777568785577314,0.005227035696155387
4,0.01,0.003,47.10100408344988,0.010790898013244999,0.001684517879319592,0.037647229502664914,0.23714623464235357,0.015551731651650464
4,0.01,0.01,47.10100408344988,0.03841713349025605,0.008763096902820053,0.13415798613595686,0.17887671229117083,0.05456579727639819
5,0.001,0.0001,120.48090401739432,0.0003460759607617933,6.309112813848517e-05,0.0011384452975497009,0.15285596240585836,0.0005293075007376587
