kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.42,0.18,0.3,13.152580409719244,2.5266892244073578,0.23772855109025823,3.37685428670742e-05,3.37685428670742e-05,4.395872805983791e-16,0.0,0.41999839810172707
0.42,2.4,0.23,0.015,0.32,0.21000000000000002,0.22,13.152983477505728,2.394719481624745,0.2543534805735164,2.680744154419379e-05,2.680744154419379e-05,3.201076022155793e-16,0.0,0.4216903384635973
0.42,2.4,0.23,0.015,0.34,0.19,0.18,13.15322015757724,2.3127050050782683,0.2284664856081699,2.0232423863619786e-05,2.0232423863619786e-05,2.246586202322227e-16,0.0,0.42267102726293804
0.42,2.4,0.23,0.015,0.38,0.17,0.18,13.153203021794473,2.316644804691839,0.21182231700946094,1.879368161732467e-05,1.879368161732467e-05,3.572393346280576e-16,0.0,0.42276767234981005
0.42,2.4,0.23,0.015,0.44,0.16,0.18,13.152695152906816,2.473811178074121,0.21161214938941966,1.8389942327341757e-05,1.8389942327341757e-05,5.574970522850918e-16,0.0,0.42379054839813657
0.42,2.4,0.23,0.015,0.38,0.2,0.22,13.152611577714183,2.5062006378310606,0.24417628280634848,2.6353617090111442e-05,2.6353617090111442e-05,3.269965255667373e-16,0.0,0.4275737569308249
0.42,2.4,0.23,0.015,0.36,0.19,0.3,13.153047648973095,2.38727171220566,0.2534342311164692,3.4381974572759294e-05,3.4381974572759294e-05,4.023848062212868e-16,0.0,0.4286685297898513
0.42,2.4,0.23,0.015,0.38,0.19,0.3,13.152837060230818,2.4515577005573492,0.25121336178729986,3.467730991062526e-05,3.467730991062526e-05,1.6148105846696974e-16,0.0,0.432123701347579
0.42,2.4,0.23,0.015,0.36,0.17,0.22,13.153412009784965,2.253953971889813,0.21260934829782918,2.288305548543701e-05,2.288305548543701e-05,3.762112173942228e-16,0.0,0.4335004402092471
0.42,2.4,0.23,0.015,0.4,0.19,0.27999999999999997,13.152610340137844,2.515162149284471,0.24412537211438406,3.259673832728058e-05,3.259673832728058e-05,1.6574582690646881e-16,0.0,0.43596441631450056
0.42,2.4,0.23,0.015,0.44,0.17,0.2,13.15251678892651,2.529450036870134,0.21891606618839743,2.149169837026635e-05,2.149169837026635e-05,2.8099993738481713e-16,0.0,0.43644151984407853
0.42,2.4,0.23,0.015,0.38,0.16,0.22,13.153380220222658,2.263511047977755,0.20285390906351497,2.200023983568722e-05,2.200023983568722e-05,4.519516490601059e-16,0.0,0.4370649410510937
0.42,2.4,0.23,0.015,0.38,0.2,0.24,13.152614299233498,2.508292506698481,0.24689400191871874,2.8807556083979696e-05,2.8807556083979696e-05,3.3020861210407367e-16,0.0,0.4389937117993582
0.42,2.4,0.23,0.015,0.4,0.16,0.18,13.153162083140913,2.3290765121165937,0.2045738714903563,1.8069023848637372e-05,1.8069023848637372e-05,1.2894405087565187e-16,0.0,0.4390217842681866
