loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.26,0.22,0.03,0.9,0.1,0.6,0.06698662990111894,0.016142319749491693,0.010159908260575378,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19253095860996475,0.4438195856841353,0.6363505442941001
0.34,0.22,0.06,0.9,0.1,0.85,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16678605302019905,0.4696048569085019,0.636390909928701
0.34,0.22,0.03,1.15,0.1,0.35,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16747690601943305,0.46894124713668406,0.636418153156117
0.34,0.34,0.06,1.15,0.1,0.35,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.1676002520385964,0.46894124713668406,0.6365414991752805
0.1,0.34,0.03,1.15,0.1,0.85,0.03249939593778201,0.018294053879600567,0.008554079456159077,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.22326062963877652,0.4133567774508578,0.6366174070896343
0.34,0.46,0.0,1.15,0.35,0.35,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16525871889148286,0.47142685584601307,0.636685574737496
0.34,0.22,0.03,1.15,0.35,0.1,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16747690601943305,0.46921476453816785,0.6366916705576009
0.34,0.34,0.06,1.15,0.35,0.1,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.1676002520385964,0.46921476453816785,0.6368150165767643
0.26,0.46,0.03,0.9,0.1,0.6,0.06828414493393227,0.016387261564966248,0.012213857751044395,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19304245125214586,0.4438195856841353,0.6368620369362812
0.34,0.22,0.03,0.9,0.1,0.85,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16747690601943305,0.4696048569085019,0.637081762927935
0.34,0.34,0.06,0.9,0.1,0.85,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.1676002520385964,0.4696048569085019,0.6372051089470983
0.34,0.34,0.03,1.15,0.1,0.35,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.1683433162442872,0.46894124713668406,0.6372845633809713
0.34,0.34,0.03,1.15,0.35,0.1,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.1683433162442872,0.46921476453816785,0.637558080782455
0.34,0.34,0.03,0.9,0.1,0.85,0.09441379808510908,0.01598770985032063,0.013244824179716888,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.1683433162442872,0.4696048569085019,0.6379481731527891
0.34,0.22,0.06,1.15,0.35,0.35,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16678605302019905,0.47142685584601307,0.6382129088662121
0.34,0.1,0.03,1.15,0.1,0.35,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16973744657047105,0.46894124713668406,0.6386786937071551
0.34,0.22,0.03,1.15,0.35,0.35,0.0940292697258568,0.015519369026140118,0.01152554477142997,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.16747690601943305,0.47142685584601307,0.6389037618654461
0.34,0.1,0.03,1.15,0.35,0.1,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16973744657047105,0.46921476453816785,0.6389522111086389
0.34,0.34,0.06,1.15,0.35,0.35,0.09080927707467691,0.02364360608729466,0.01655313520056797,0.46821359602608187,0.3469738290340504,0.1866142809061453,0.1676002520385964,0.47142685584601307,0.6390271078846095
0.34,0.1,0.06,1.15,0.1,0.35,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.17011804963765442,0.46894124713668406,0.6390592967743385
0.34,0.1,0.06,1.15,0.35,0.1,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.17011804963765442,0.46921476453816785,0.6393328141758223
0.34,0.1,0.03,0.9,0.1,0.85,0.09248227152946964,0.014210422614783948,0.01093014071472461,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16973744657047105,0.4696048569085019,0.6393423034789729
0.26,0.1,0.03,0.9,0.1,0.6,0.06505585776850506,0.014612799926092788,0.010019031873310184,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19585037417871234,0.4438195856841353,0.6396699598628477
0.34,0.1,0.06,0.9,0.1,0.85,0.08852474588384879,0.02163137207938871,0.014774167600891917,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.17011804963765442,0.4696048569085019,0.6397229065461563
