N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,unitarity_defect_mean,unitarity_defect_std
1,-6,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-6,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011412831546337764,8.868845947766195e-05
1,-6,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003596773987560886,0.00025392188993323767
1,-6,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011505662865418408,0.0009306919511788058
1,-6,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0028818126234339304,0.0024415325436210836
1,-6,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012315327833991481,0.007432989059420133
1,-6,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-6,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.728587629207031e-05,8.116483415185151e-05
1,-6,0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00034290021138640994,0.0002430464046564578
1,-6,0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0009091483237082043,0.0007722693874141017
1,-6,0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0034277911667205375,0.002241335245299942
1,-6,0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012168806112713614,0.009341799557681461
1,-6,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-6,0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011076272957960987,8.538278592899542e-05
1,-6,0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0004033087368895516,0.0002941455704269284
1,-6,0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0012106133190536482,0.001085622143668511
1,-6,0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003625652075324144,0.003133227226605476
1,-6,0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.009818765288615621,0.00813388578128091
1,6,-0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,6,-0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.0001099142780918494,8.33332667707468e-05
1,6,-0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00040221917218169923,0.000320072889710695
1,6,-0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0013234089844544972,0.0009193388269805185
1,6,-0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0032871200267633417,0.0019232446516905845
1,6,-0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.009533682735172314,0.00791352442502746
1,6,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,6,-0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.398095316346167e-05,7.668509884854202e-05
1,6,-0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.000375211349822433,0.00026370329436153727
1,6,-0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0010097301582422458,0.0008379164089335148
1,6,-0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0029562558310197097,0.002201653619240084
1,6,-0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011186087533820818,0.00808995606620755
1,6,-0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,6,-0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00010592782898797725,9.807819903581866e-05
1,6,-0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003296560506254598,0.0002502088136149856
1,6,-0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011379975979306355,0.0006909589607159374
1,6,-0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.00412207610222119,0.0032601823577613873
1,6,-0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010768883620959308,0.007799611163771557
1,6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,6,0.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.0001198104256630761,8.983979758709222e-05
1,6,0.0,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0004075746510631295,0.00027867174120748794
1,6,0.0,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.000985403250620962,0.0006360219335196675
1,6,0.0,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003592411149063357,0.002277887996493273
1,6,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010850469177304065,0.009277347668301784
1,6,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,6,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011524529002972628,8.722515417473248e-05
1,6,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00038756821132658327,0.00030527403379152385
1,6,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.000987095977449468,0.0008000891821307746
1,6,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003674070868805548,0.0027753551792839607
1,6,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012613454366793325,0.008781707143616998
1,6,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,6,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011871663287734258,8.454417590526682e-05
1,6,0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00029695116337994596,0.00024995108641597837
1,6,0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.001012360409818025,0.000817526505891515
1,6,0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003046527595362645,0.001997574514715771
1,6,0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.01057087508339052,0.007714191193752794
1,6,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,6,0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012194949841919378,9.568897805872358e-05
1,6,0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00028366121529793675,0.00022859760825818683
1,6,0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011754957345348105,0.0010157313249637143
1,6,0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.002827202941421436,0.0027675018398405585
1,6,0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011795336884851338,0.010172492587023272
1,8,-0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,8,-0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00010861378196783899,7.765738950380023e-05
