winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
8,0.04999999999999999,0.0001,1.8191762884553072e-14,3.218684877725386e-16,2.92121744226404e-15,2.7369110631344083e-48,2.7369110631344083e-48,8.899016033706895e-16,1.1399688140906152,3610.6688999999988
8,0.04999999999999999,0.0003,9.018862333750632e-15,9.03087561391606e-15,2.3597559253911192e-14,-6.842277657836021e-49,6.842277657836021e-49,6.654801471537422e-16,1.1399393402015694,3610.6688999999983
8,0.04999999999999999,0.001,8.46841168466877e-15,1.0074874941959451e-14,9.864435897191748e-15,0.0,0.0,4.62726969805146e-16,1.1394647374231996,3610.6688999999988
8,0.04999999999999999,0.003,2.129158954810207e-14,3.1106910485525123e-15,1.1039304804586846e-14,0.0,0.0,5.520255063280347e-16,1.1403509014794997,3610.6688999999988
8,0.06,0.0,6.591101849718822e-15,1.2006325928411704e-14,1.5483188040659495e-14,-2.7369110631344083e-48,2.7369110631344083e-48,6.266556426061085e-16,1.1298509134798191,3610.6688999999983
8,0.06,0.0001,8.74948404037505e-15,1.482436227936946e-14,9.12007365914757e-15,2.7369110631344083e-48,2.7369110631344083e-48,1.241557943944897e-15,1.1298783099365581,3610.6688999999983
8,0.06,0.0003,7.368618152820587e-15,9.008240140121856e-15,8.764116058777334e-15,-2.0526832973508063e-48,2.0526832973508063e-48,4.574285240406757e-16,1.129736140900939,3610.6688999999988
8,0.06,0.001,1.2716129832926689e-14,4.4614279467985555e-15,6.004260001112778e-15,0.0,0.0,2.29765949067938e-16,1.130765472644388,3610.6688999999983
8,0.06,0.003,6.02930234164252e-15,1.8258306490618337e-14,1.443250135905619e-14,4.1053665947016125e-48,4.1053665947016125e-48,9.109556262278793e-16,1.1301271254691077,3610.6688999999974
8,0.07,0.0,4.102949734029681e-15,1.0321100418712784e-14,1.101175834315027e-14,7.304469790019814e-49,7.304469790019814e-49,9.703239378040836e-16,1.1194188715127016,3610.6688999999988
8,0.07,0.0001,8.489511980154061e-15,1.7309739910293312e-15,2.4170282331027972e-14,1.3684555315672042e-48,1.3684555315672042e-48,2.832127557069617e-16,1.1194179712202574,3610.668899999999
8,0.07,0.0003,1.3628906161275157e-14,1.2925114711570528e-14,1.6421793378878022e-14,-2.7369110631344083e-48,2.7369110631344083e-48,2.2591721764023545e-16,1.119611383515527,3610.6688999999974
8,0.07,0.001,5.849167431685383e-15,2.4893339114510353e-15,2.4111278250477093e-14,-2.7369110631344083e-48,2.7369110631344083e-48,5.339285569492218e-16,1.1195047195035879,3610.668899999999
8,0.07,0.003,4.619940147414689e-15,1.0369479005453989e-14,5.125363412639482e-15,-6.842277657836021e-49,6.842277657836021e-49,1.1946160933761363e-15,1.1186360475290118,3610.6688999999988
8,0.07999999999999999,0.0,8.255009185390774e-15,1.5909530522137672e-14,9.211683072329922e-15,-1.3684555315672042e-48,1.3684555315672042e-48,4.172577943820895e-16,1.1087449874606035,3610.6688999999983
