beta_u,beta_d,tw12,tw23,eps_cp,q_cp,theta12,theta23,theta13,J,Hu,Hd,cp_total,LOSS
4.75,4.2,0.422,0.062,0.012,0.5,13.127853418290687,3.280403852590679,0.23904915625418893,5.319474986539407e-06,8.251595156157334,7.296147295833141,0.053064874211316476,1.3842733533421798
4.75,4.2,0.422,0.062,0.012,0.75,13.081752596842627,3.0462631353647676,0.2318599239318675,4.974368547523266e-06,8.251595156157334,7.296147296278964,0.0468495146534965,1.0556002684952221
4.75,4.2,0.422,0.062,0.012,1.0,13.051380684566702,2.878348240481035,0.22695528410330396,5.1346764277449344e-06,8.251595156157334,7.296147295703172,0.041999999999999996,0.8368422578182131
4.75,4.2,0.422,0.062,0.012,1.25,13.030772694673653,2.7558946007298144,0.22341153676205155,5.498394610936152e-06,8.251595156157334,7.2961472959476215,0.03814585139354363,0.6848841892758305
4.75,4.2,0.422,0.062,0.012,1.5,13.016408009794619,2.665014397827031,0.2207327572713296,5.929061038947229e-06,8.251595156157334,7.296147296153586,0.03502922028398009,0.5779857383434328
4.75,4.2,0.422,0.062,0.012,1.75,13.00615040583826,2.596379580952243,0.21863488196298644,6.365431485386955e-06,8.251595156157334,7.296147296100169,0.032468344622305176,0.5016009187343122
4.75,4.2,0.422,0.062,0.012,2.0,12.998667606935163,2.543670366844331,0.21694537838657993,6.7811138892268e-06,8.251595156157334,7.296147295923005,0.030333333333333334,0.44583436254563413
4.75,4.2,0.422,0.062,0.012,2.25,12.993106298992513,2.502553484165728,0.2155539890704531,7.1660186062828205e-06,8.251595156157334,7.296147295837654,0.028530018482334253,0.4041193129559016
4.75,4.2,0.422,0.062,0.012,2.5,12.988905859927332,2.470015334449044,0.21438713563970782,7.517641886132208e-06,8.251595156157334,7.296147295574685,0.026989109640708945,0.3721412131208628
4.75,4.2,0.422,0.062,0.012,2.75,12.985689027573999,2.4439276329121586,0.21339387853276645,7.83690524780228e-06,8.251595156157334,7.2961472959795115,0.025658850226311137,0.34705181686280034
4.75,4.2,0.422,0.062,0.012,3.0,12.983196191906206,2.4227634269187956,0.2125378278274101,8.126154897591508e-06,8.251595156157334,7.2961472956797175,0.0245,0.32694536404805885
4.75,4.2,0.422,0.062,0.013000000000000001,0.5,13.165510383432332,3.457740831015448,0.2449096552833859,5.98862618653509e-06,8.251595156157334,7.296147296146152,0.057486947062259514,1.6689179250082506
4.75,4.2,0.422,0.062,0.013000000000000001,0.75,13.109774281268114,3.191104490882712,0.2362434252280638,5.113810624855601e-06,8.251595156157334,7.296147296227511,0.05075364087462121,1.2544036647567312
4.75,4.2,0.422,0.062,0.013000000000000001,1.0,13.072805703532977,2.9981167952756826,0.2304392728910522,4.983469611236687e-06,8.251595156157334,7.296147296016592,0.0455,0.9917709531647667
4.75,4.2,0.422,0.062,0.013000000000000001,1.25,13.047543162949914,2.8561427298074387,0.2263136796744887,5.184047202073938e-06,8.251595156157334,7.29614729616294,0.0413246723430056,0.8087431020113314
4.75,4.2,0.422,0.062,0.013000000000000001,1.5,13.029801119396108,2.749908879042688,0.22323717511050262,5.522215668003549e-06,8.251595156157334,7.296147295958218,0.03794832197431177,0.677667687575416
4.75,4.2,0.422,0.062,0.013000000000000001,1.75,13.017029790334638,2.6690636276143715,0.22085399792646052,5.906532752538503e-06,8.251595156157334,7.296147296210688,0.03517404000749728,0.5826171943743917
4.75,4.2,0.422,0.062,0.013000000000000001,2.0,13.007632920100948,2.606532654531215,0.2189512712289346,6.293960517303162e-06,8.251595156157334,7.2961472957287095,0.03286111111111112,0.5126384166046644
4.75,4.2,0.422,0.062,0.013000000000000001,2.25,13.000584321039534,2.5574260043843897,0.2173949612509867,6.664919390171609e-06,8.251595156157334,7.2961472958046185,0.030907520022528775,0.460137701810066
4.75,4.2,0.422,0.062,0.013000000000000001,2.5,12.995207326981784,2.518317684331113,0.21609685443458249,7.0113302700648954e-06,8.251595156157334,7.296147295949196,0.029238202110768025,0.41993207025622487
4.75,4.2,0.422,0.062,0.013000000000000001,2.75,12.991044928647,2.486771823151649,0.21499663551091402,7.330751490571864e-06,8.251595156157334,7.296147295785329,0.027797087745170403,0.3885033827946138
4.75,4.2,0.422,0.062,0.013000000000000001,3.0,12.987781491922485,2.4610300494291595,0.2140516867616652,7.623453900158783e-06,8.251595156157334,7.296147295917632,0.02654166666666667,0.36345166575554
